disease_id,disease_name,clinical_scope,body_system,overview,common_symptoms,red_flags,follow_up_questions,emergency_triggers,likely_causes_or_associations,student_context,triage_level_hint,triage_advice,self_care_guidance,referral_guidance,differential_considerations,source_note,validation_status
D0001,Cystitis,Infectious/Fever,Infectious,"Screening profile for Cystitis. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""involuntary urination"", ""side pain"", ""symptoms of bladder"", ""frequent urination"", ""suprapubic pain"", ""blood in urine"", ""lower abdominal pain"", ""sharp abdominal pain"", ""painful urination"", ""back pain"", ""fever"", ""chills"", ""headache"", ""body pain"", ""fatigue""]","[""blood in urine"", ""sharp abdominal pain"", ""painful urination"", ""frequent urination"", ""confusion"", ""stiff neck"", ""persistent vomiting"", ""seizure"", ""very high fever"", ""difficulty breathing""]","[""Are you experiencing blood in urine?"", ""Are you experiencing sharp abdominal pain?"", ""Are you experiencing involuntary urination?"", ""Are you experiencing side pain?"", ""Are you experiencing symptoms of bladder?"", ""Are you experiencing frequent urination?"", ""When did the fever start?"", ""Is the fever continuous or intermittent?"", ""Any chills, sweating, headache, or body pain?"", ""Any vomiting, neck stiffness, rash, or confusion?"", ""Any recent travel, mosquito exposure, unsafe water, or sick contact?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""blood in urine"", ""sharp abdominal pain"", ""painful urination"", ""frequent urination"", ""confusion""]","[""mosquito exposure"", ""unsafe food or water exposure"", ""close-contact infection"", ""travel or community outbreak exposure""]","Relevant in African university settings due to malaria risk, water/food safety, outbreaks, and close-contact living.",Routine to urgent depending on red flags,"Assess fever pattern, hydration, mental status, and red flags; encourage proper clinical testing before treatment.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Cystitis"", ""Malaria-like illness"", ""Typhoid-like illness"", ""Viral fever"", ""Meningitis concern"", ""Sepsis concern""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0002,Nose Disorder,Respiratory/ENT,Respiratory,"Screening profile for Nose Disorder. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""ear pain"", ""nosebleed"", ""facial pain"", ""difficulty breathing"", ""painful sinuses"", ""cough"", ""nasal congestion"", ""headache"", ""fever"", ""sinus congestion"", ""sore throat"", ""runny nose"", ""catarrh"", ""sneezing""]","[""difficulty breathing"", ""fever"", ""chest pain"", ""blue lips"", ""low spo2"", ""coughing blood"", ""severe wheezing""]","[""Are you experiencing difficulty breathing?"", ""Are you experiencing fever?"", ""Are you experiencing ear pain?"", ""Are you experiencing nosebleed?"", ""Are you experiencing facial pain?"", ""Are you experiencing painful sinuses?"", ""How long has the cough or throat symptom been present?"", ""Is there fever, chills, or body pain?"", ""Is there shortness of breath or chest pain?"", ""Is the cough dry or productive?"", ""Has the student had contact with someone with similar symptoms?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""difficulty breathing"", ""fever"", ""chest pain"", ""blue lips"", ""low spo2""]","[""viral upper respiratory infection"", ""allergy or irritant exposure"", ""bacterial infection in selected cases"", ""close-contact transmission in hostels/classrooms""]","Common in crowded lecture halls, hostels, shared transport, and during seasonal outbreaks.",Routine to urgent depending on red flags,"Screen for respiratory red flags, check temperature and SpO₂, and refer promptly if breathing difficulty, chest pain, low oxygen, or persistent high fever is present.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Nose Disorder"", ""Common cold"", ""Influenza-like illness"", ""COVID-like illness"", ""Allergic rhinitis"", ""Pneumonia"", ""Asthma-like episode""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0003,Vulvodynia,Genitourinary/Reproductive,Genitourinary,"Screening profile for Vulvodynia. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""back pain"", ""vaginal discharge"", ""lower abdominal pain"", ""nausea"", ""pelvic pain"", ""pain during pregnancy"", ""painful urination"", ""side pain"", ""burning abdominal pain"", ""cramps and spasms"", ""frequent urination"", ""discharge""]","[""sharp abdominal pain"", ""blood in urine"", ""severe pelvic pain"", ""high fever"", ""flank pain"", ""pregnancy concern"", ""testicular pain""]","[""Are you experiencing sharp abdominal pain?"", ""Are you experiencing back pain?"", ""Are you experiencing vaginal discharge?"", ""Are you experiencing lower abdominal pain?"", ""Are you experiencing nausea?"", ""Are you experiencing pelvic pain?"", ""Is urination painful or frequent?"", ""Any blood in urine, discharge, pelvic pain, or flank pain?"", ""Any fever or chills?"", ""How long have urinary symptoms been present?"", ""Any recent unprotected sexual exposure?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""sharp abdominal pain"", ""blood in urine"", ""severe pelvic pain"", ""high fever"", ""flank pain""]","[""urinary infection"", ""dehydration or irritation"", ""sexual exposure in selected cases"", ""hygiene-related factors""]",Important for student clinics because symptoms may be sensitive and require confidential care.,Routine to urgent depending on red flags,"Refer for clinical testing when urinary symptoms are persistent, severe, associated with fever, blood, flank pain, or reproductive symptoms.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Vulvodynia"", ""UTI"", ""STI-related syndrome"", ""Kidney infection concern"", ""Pelvic inflammatory concern"", ""Kidney stone""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0004,Complex Regional Pain Syndrome,Musculoskeletal,Musculoskeletal,"Screening profile for Complex Regional Pain Syndrome. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""back pain"", ""foot or toe pain"", ""neck pain"", ""leg pain"", ""arm pain"", ""paresthesia"", ""hand or finger pain"", ""low back pain"", ""loss of sensation"", ""abnormal involuntary movements"", ""pain"", ""swelling"", ""reduced movement"", ""tenderness""]","[""loss of sensation"", ""severe injury"", ""loss of movement"", ""numbness"", ""deformity"", ""severe back pain with weakness"", ""fever with joint pain""]","[""Are you experiencing loss of sensation?"", ""Are you experiencing back pain?"", ""Are you experiencing foot or toe pain?"", ""Are you experiencing neck pain?"", ""Are you experiencing leg pain?"", ""Are you experiencing arm pain?"", ""Was there an injury or fall?"", ""Can the student move the affected area?"", ""Any numbness, weakness, swelling, or deformity?"", ""How severe is the pain?"", ""Is there fever with joint pain?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""loss of sensation"", ""severe injury"", ""loss of movement"", ""numbness"", ""deformity""]","[""infection"", ""inflammation"", ""injury"", ""stress"", ""environmental exposure""]",Relevant to student health screening and triage in campus clinics.,Routine to urgent depending on red flags,"Assess function, swelling, neurovascular symptoms, and trauma severity; refer urgently for deformity, numbness, or severe pain.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Complex Regional Pain Syndrome"", ""Infection"", ""Inflammation"", ""Injury"", ""Stress-related symptoms""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0005,Spondylosis,Musculoskeletal,Musculoskeletal,"Screening profile for Spondylosis. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""neck pain"", ""low back pain"", ""ache all over"", ""back pain"", ""loss of sensation"", ""arm pain"", ""hip pain"", ""lower body pain"", ""knee pain"", ""shoulder pain"", ""pain"", ""swelling"", ""reduced movement"", ""tenderness""]","[""loss of sensation"", ""severe injury"", ""loss of movement"", ""numbness"", ""deformity"", ""severe back pain with weakness"", ""fever with joint pain""]","[""Are you experiencing loss of sensation?"", ""Are you experiencing neck pain?"", ""Are you experiencing low back pain?"", ""Are you experiencing ache all over?"", ""Are you experiencing back pain?"", ""Was there an injury, fall, or sports activity before symptoms started?"", ""Was there an injury or fall?"", ""Can the student move the affected area?"", ""Any numbness, weakness, swelling, or deformity?"", ""How severe is the pain?"", ""Is there fever with joint pain?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""loss of sensation"", ""severe injury"", ""loss of movement"", ""numbness"", ""deformity""]","[""infection"", ""inflammation"", ""injury"", ""stress"", ""environmental exposure""]",Relevant to student health screening and triage in campus clinics.,Routine to urgent depending on red flags,"Assess function, swelling, neurovascular symptoms, and trauma severity; refer urgently for deformity, numbness, or severe pain.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Spondylosis"", ""Infection"", ""Inflammation"", ""Injury"", ""Stress-related symptoms""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0006,Conjunctivitis Due To Allergy,Eye/Ear/Dental,Eye,"Screening profile for Conjunctivitis Due To Allergy. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context. Allergy-focused entry: includes trigger investigation, repeated exposure pattern, skin/airway symptoms, and emergency swelling or breathing red flags.","[""eye redness"", ""sneezing"", ""itchiness of eye"", ""nasal congestion"", ""symptoms of eye"", ""lacrimation"", ""pain in eye"", ""swollen eye"", ""allergic reaction"", ""diminished vision"", ""itchy eyes"", ""watery eyes"", ""runny nose"", ""catarrh"", ""red eye"", ""eye discharge"", ""eye pain"", ""ear pain"", ""itching"", ""rash""]","[""sneezing"", ""itchy eyes"", ""vision loss"", ""severe eye pain"", ""facial swelling"", ""high fever"", ""ear discharge with severe pain"", ""dental swelling"", ""tongue swelling"", ""difficulty breathing"", ""wheezing"", ""collapse""]","[""Was there exposure to food, drug, dust, pollen, insect bite, latex, or cosmetics?"", ""Did symptoms start suddenly after exposure?"", ""Is there facial, lip, tongue, or throat swelling?"", ""Any wheezing or breathing difficulty?"", ""Have similar symptoms happened before?"", ""Are you experiencing eye redness?"", ""Are you experiencing sneezing?"", ""Are you experiencing itchiness of eye?"", ""Are you experiencing nasal congestion?"", ""Are you experiencing symptoms of eye?"", ""Do you have severe pain, swelling, discharge, or vision changes?"", ""Is there pain, discharge, or swelling?"", ""Any vision loss or hearing loss?"", ""How long has it lasted?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""sneezing"", ""itchy eyes"", ""vision loss"", ""severe eye pain"", ""facial swelling""]","[""infection"", ""allergy"", ""trauma"", ""poor dental hygiene"", ""irritant exposure""]","Common because of infections, allergies, screen use, noise exposure, and delayed dental care.",Routine to urgent depending on red flags,"Refer urgently for vision loss, severe eye pain, facial swelling, high fever, or severe dental infection signs.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Conjunctivitis Due To Allergy"", ""Conjunctivitis"", ""Otitis media/externa"", ""Dental abscess concern"", ""Allergic eye disease""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0007,Esophagitis,Respiratory/ENT,Respiratory,"Screening profile for Esophagitis. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""difficulty in swallowing"", ""upper abdominal pain"", ""vomiting"", ""sore throat"", ""cough"", ""sharp chest pain"", ""nausea"", ""chest tightness"", ""heartburn"", ""sharp abdominal pain"", ""runny nose"", ""catarrh"", ""sneezing""]","[""difficulty in swallowing"", ""vomiting"", ""sharp chest pain"", ""chest tightness"", ""sharp abdominal pain"", ""shortness of breath"", ""difficulty breathing"", ""chest pain"", ""blue lips"", ""low spo2""]","[""Are you experiencing difficulty in swallowing?"", ""Are you experiencing vomiting?"", ""Are you experiencing sharp chest pain?"", ""Are you experiencing upper abdominal pain?"", ""Are you experiencing sore throat?"", ""Are you experiencing cough?"", ""How long has the cough or throat symptom been present?"", ""Is there fever, chills, or body pain?"", ""Is there shortness of breath or chest pain?"", ""Is the cough dry or productive?"", ""Has the student had contact with someone with similar symptoms?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""difficulty in swallowing"", ""vomiting"", ""sharp chest pain"", ""chest tightness"", ""sharp abdominal pain""]","[""viral upper respiratory infection"", ""allergy or irritant exposure"", ""bacterial infection in selected cases"", ""close-contact transmission in hostels/classrooms""]","Common in crowded lecture halls, hostels, shared transport, and during seasonal outbreaks.",Routine to urgent depending on red flags,"Screen for respiratory red flags, check temperature and SpO₂, and refer promptly if breathing difficulty, chest pain, low oxygen, or persistent high fever is present.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Esophagitis"", ""Common cold"", ""Influenza-like illness"", ""COVID-like illness"", ""Allergic rhinitis"", ""Pneumonia"", ""Asthma-like episode""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0008,Hypoglycemia,Endocrine/Metabolic,Endocrine,"Screening profile for Hypoglycemia. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""feeling ill"", ""nausea"", ""seizures"", ""fainting"", ""sweating"", ""abnormal involuntary movements"", ""sleepiness"", ""dizziness"", ""weakness"", ""problems with movement"", ""fatigue"", ""weight change"", ""excessive thirst"", ""frequent urination""]","[""seizures"", ""fainting"", ""confusion"", ""severe dehydration"", ""very high blood sugar symptoms"", ""severe weakness""]","[""Are you experiencing seizures?"", ""Are you experiencing fainting?"", ""Are you experiencing feeling ill?"", ""Are you experiencing nausea?"", ""Are you experiencing sweating?"", ""Do you have severe headache, weakness, seizures, or confusion?"", ""Any excessive thirst or urination?"", ""Any unexplained weight change?"", ""Any dizziness, sweating, or fainting?"", ""Any known diabetes or thyroid condition?"", ""How long have symptoms been present?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""seizures"", ""fainting"", ""confusion"", ""severe dehydration"", ""very high blood sugar symptoms""]","[""dietary pattern"", ""dehydration"", ""hormonal/metabolic disorder"", ""chronic disease risk""]","Useful for screening obesity, dehydration, diabetes-like symptoms, and nutritional risks.",Routine to urgent depending on red flags,"Screen for dehydration, fainting, confusion, and known metabolic disease; refer for clinical testing.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Hypoglycemia"", ""Dehydration"", ""Diabetes-like symptoms"", ""Thyroid-related symptoms"", ""Nutritional deficiency""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0009,Peripheral Nerve Disorder,Neurological,Neurological,"Screening profile for Peripheral Nerve Disorder. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""leg weakness"", ""loss of sensation"", ""arm pain"", ""foot or toe pain"", ""back pain"", ""leg pain"", ""abnormal involuntary movements"", ""paresthesia"", ""arm weakness"", ""problems with movement"", ""fever"", ""pain"", ""fatigue"", ""weakness"", ""headache""]","[""loss of sensation"", ""disturbance of memory"", ""severe pain"", ""confusion"", ""difficulty breathing"", ""fainting""]","[""Are you experiencing loss of sensation?"", ""Are you experiencing disturbance of memory?"", ""Are you experiencing leg weakness?"", ""Are you experiencing arm pain?"", ""Are you experiencing foot or toe pain?"", ""Are you experiencing back pain?"", ""When did symptoms start?"", ""Are symptoms worsening?"", ""Any fever, severe pain, or breathing difficulty?"", ""Any medication or allergy history?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""loss of sensation"", ""disturbance of memory"", ""severe pain"", ""confusion"", ""difficulty breathing""]","[""infection"", ""inflammation"", ""injury"", ""stress"", ""environmental exposure""]",Relevant to student health screening and triage in campus clinics.,Routine to urgent depending on red flags,"Screen for severity, duration, red flags, and refer for clinical assessment when symptoms persist or worsen.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Peripheral Nerve Disorder"", ""Infection"", ""Inflammation"", ""Injury"", ""Stress-related symptoms""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
D0010,Vaginal Cyst,Genitourinary/Reproductive,Genitourinary,"Screening profile for Vaginal Cyst. This entry supports symptom-to-condition ranking, follow-up questioning, and triage escalation in a university health-monitoring context.","[""heavy menstrual flow"", ""pelvic pain"", ""lower abdominal pain"", ""intermenstrual bleeding"", ""pain during pregnancy"", ""vaginal pain"", ""cramps and spasms"", ""blood clots during menstrual periods"", ""vaginal discharge"", ""problems during pregnancy"", ""painful urination"", ""frequent urination"", ""discharge""]","[""sharp abdominal pain"", ""blood in urine"", ""severe pelvic pain"", ""high fever"", ""flank pain"", ""pregnancy concern"", ""testicular pain""]","[""Are you experiencing sharp abdominal pain?"", ""Are you experiencing heavy menstrual flow?"", ""Are you experiencing pelvic pain?"", ""Are you experiencing lower abdominal pain?"", ""Are you experiencing intermenstrual bleeding?"", ""Are you experiencing pain during pregnancy?"", ""Is urination painful or frequent?"", ""Any blood in urine, discharge, pelvic pain, or flank pain?"", ""Any fever or chills?"", ""How long have urinary symptoms been present?"", ""Any recent unprotected sexual exposure?""]","[""SpO₂ <= 90%"", ""Temperature >= 40°C"", ""Heart rate >= 130 BPM"", ""Systolic BP >= 180 or diastolic BP >= 120"", ""sharp abdominal pain"", ""blood in urine"", ""severe pelvic pain"", ""high fever"", ""flank pain""]","[""urinary infection"", ""dehydration or irritation"", ""sexual exposure in selected cases"", ""hygiene-related factors""]",Important for student clinics because symptoms may be sensitive and require confidential care.,Routine to urgent depending on red flags,"Refer for clinical testing when urinary symptoms are persistent, severe, associated with fever, blood, flank pain, or reproductive symptoms.","Encourage rest, hydration, symptom monitoring, avoiding self-medication misuse, and returning for review if symptoms worsen. This guidance is supportive, not diagnostic.","Refer to a clinician urgently if any red flag is present, symptoms are severe, symptoms persist, vital signs are abnormal, or the student appears unwell.","[""Vaginal Cyst"", ""UTI"", ""STI-related syndrome"", ""Kidney infection concern"", ""Pelvic inflammatory concern"", ""Kidney stone""]",Prototype curated from uploaded symptom-disease dataset and common university-health triage categories; not copied from external medical pages.,Prototype CDSS knowledge base - requires clinician review and validation before real-world medical use
